datetime,count
2011-01-20 00:00:00,77.9
2011-01-20 01:00:00,84.9
2011-01-20 02:00:00,31.3
2011-01-20 03:00:00,24.2
2011-01-20 04:00:00,3.5
2011-01-20 05:00:00,7.6
2011-01-20 06:00:00,93.1
2011-01-20 07:00:00,177.8
2011-01-20 08:00:00,325.8
2011-01-20 09:00:00,204.1
2011-01-20 10:00:00,99.9
2011-01-20 11:00:00,144.8
2011-01-20 12:00:00,149.8
2011-01-20 13:00:00,156.7
2011-01-20 14:00:00,147.3
2011-01-20 15:00:00,145.2
2011-01-20 16:00:00,229.8
2011-01-20 17:00:00,323.6
2011-01-20 18:00:00,305.5
2011-01-20 19:00:00,174.4
2011-01-20 20:00:00,130.8
2011-01-20 21:00:00,97.6
2011-01-20 22:00:00,84.7
2011-01-20 23:00:00,40.4
2011-01-21 00:00:00,90.1
2011-01-21 01:00:00,46.7
2011-01-21 02:00:00,36.6
2011-01-21 03:00:00,15.4
2011-01-21 04:00:00,5.8
2011-01-21 05:00:00,10.3
2011-01-21 06:00:00,91.8
2011-01-21 07:00:00,205.2
2011-01-21 08:00:00,285.3
2011-01-21 09:00:00,191.7
2011-01-21 10:00:00,94.8
2011-01-21 11:00:00,102.6
2011-01-21 12:00:00,148.7
2011-01-21 13:00:00,157.1
2011-01-21 14:00:00,149.6
2011-01-21 15:00:00,156.5
2011-01-21 16:00:00,198.4
2011-01-21 17:00:00,259.7
2011-01-21 18:00:00,268.1
2011-01-21 19:00:00,158.0
2011-01-21 20:00:00,122.4
2011-01-21 21:00:00,78.1
2011-01-21 22:00:00,77.0
2011-01-21 23:00:00,54.6
2011-01-22 00:00:00,41.3
2011-01-22 01:00:00,17.4
2011-01-22 02:00:00,29.4
2011-01-22 03:00:00,9.9
2011-01-22 04:00:00,3.8
2011-01-22 06:00:00,4.1
2011-01-22 07:00:00,35.7
2011-01-22 08:00:00,26.8
2011-01-22 09:00:00,57.6
2011-01-22 10:00:00,144.0
2011-01-22 11:00:00,145.3
2011-01-22 12:00:00,140.7
2011-01-22 13:00:00,177.8
2011-01-22 14:00:00,177.8
2011-01-22 15:00:00,172.4
2011-01-22 16:00:00,147.8
2011-01-22 17:00:00,88.3
2011-01-22 18:00:00,71.3
2011-01-22 19:00:00,65.4
2011-01-22 20:00:00,56.3
2011-01-22 21:00:00,65.6
2011-01-22 22:00:00,23.7
2011-01-22 23:00:00,16.5
2011-01-23 00:00:00,27.8
2011-01-23 01:00:00,22.5
2011-01-23 02:00:00,21.5
2011-01-23 03:00:00,12.7
2011-01-23 05:00:00,2.7
2011-01-23 06:00:00,2.1
2011-01-23 07:00:00,15.3
2011-01-23 08:00:00,35.9
2011-01-23 09:00:00,85.1
2011-01-23 10:00:00,83.4
2011-01-23 11:00:00,139.5
2011-01-23 12:00:00,77.9
2011-01-23 13:00:00,162.2
2011-01-23 14:00:00,182.7
2011-01-23 15:00:00,162.7
2011-01-23 16:00:00,144.6
2011-01-23 17:00:00,105.2
2011-01-23 18:00:00,96.0
2011-01-23 19:00:00,96.3
2011-01-23 20:00:00,61.1
2011-01-23 21:00:00,54.6
2011-01-23 22:00:00,38.9
2011-01-23 23:00:00,31.5
2011-01-24 00:00:00,29.1
2011-01-24 01:00:00,27.5
2011-01-24 03:00:00,10.5
2011-01-24 04:00:00,3.2
2011-01-24 05:00:00,4.7
2011-01-24 06:00:00,47.1
2011-01-24 07:00:00,94.5
2011-01-24 08:00:00,256.5
2011-01-24 09:00:00,131.9
2011-01-24 10:00:00,73.6
2011-01-24 11:00:00,72.1
2011-01-24 12:00:00,86.0
2011-01-24 13:00:00,86.7
2011-01-24 14:00:00,81.3
2011-01-24 15:00:00,100.4
2011-01-24 16:00:00,124.9
2011-01-24 17:00:00,118.2
2011-01-24 18:00:00,126.6
2011-01-24 19:00:00,78.4
2011-01-24 20:00:00,58.5
2011-01-24 21:00:00,51.7
2011-01-24 22:00:00,30.3
2011-01-24 23:00:00,31.7
2011-01-25 00:00:00,18.8
2011-01-25 01:00:00,19.8
2011-01-25 02:00:00,14.8
2011-01-25 04:00:00,8.4
2011-01-25 05:00:00,3.9
2011-01-25 06:00:00,48.3
2011-01-25 07:00:00,116.5
2011-01-25 08:00:00,282.2
2011-01-25 09:00:00,166.2
2011-01-25 10:00:00,89.0
2011-01-25 11:00:00,86.4
2011-01-25 12:00:00,123.5
2011-01-25 13:00:00,145.8
2011-01-25 14:00:00,151.7
2011-01-25 15:00:00,146.3
2011-01-25 16:00:00,171.2
2011-01-25 17:00:00,233.7
2011-01-25 18:00:00,243.1
2011-01-25 19:00:00,140.8
2011-01-25 20:00:00,62.5
2011-01-25 21:00:00,60.5
2011-01-25 22:00:00,37.9
2011-01-25 23:00:00,36.0
2011-01-26 00:00:00,30.1
2011-01-26 01:00:00,23.4
2011-01-26 02:00:00,17.8
2011-01-26 05:00:00,4.7
2011-01-26 06:00:00,33.3
2011-01-26 07:00:00,88.1
2011-01-26 08:00:00,179.3
2011-01-26 09:00:00,143.5
2011-01-26 10:00:00,88.4
2011-01-26 11:00:00,70.5
2011-01-26 12:00:00,83.6
2011-01-26 13:00:00,85.0
2011-01-26 14:00:00,60.5
2011-01-26 15:00:00,88.7
2011-01-26 16:00:00,92.9
2011-01-26 17:00:00,142.5
2011-01-27 16:00:00,234.0
2011-01-27 17:00:00,292.7
2011-01-27 18:00:00,248.1
2011-01-27 19:00:00,173.6
2011-01-27 20:00:00,114.1
2011-01-27 21:00:00,100.2
2011-01-27 22:00:00,59.2
2011-01-27 23:00:00,31.5
2011-01-28 00:00:00,85.9
2011-01-28 01:00:00,46.3
2011-01-28 02:00:00,37.7
2011-01-28 03:00:00,12.9
2011-01-28 05:00:00,10.6
2011-01-28 06:00:00,86.4
2011-01-28 07:00:00,183.6
2011-01-28 08:00:00,369.4
2011-01-28 09:00:00,183.9
2011-01-28 10:00:00,168.6
2011-01-28 11:00:00,171.5
2011-01-28 12:00:00,181.1
2011-01-28 13:00:00,184.0
2011-01-28 14:00:00,183.8
2011-01-28 15:00:00,124.2
2011-01-28 16:00:00,233.4
2011-01-28 17:00:00,263.9
2011-01-28 18:00:00,260.6
2011-01-28 19:00:00,189.0
2011-01-28 20:00:00,110.1
2011-01-28 21:00:00,104.0
2011-01-28 22:00:00,83.6
2011-01-28 23:00:00,51.4
2011-01-29 00:00:00,36.2
2011-01-29 01:00:00,24.8
2011-01-29 02:00:00,20.9
2011-01-29 03:00:00,15.6
2011-01-29 04:00:00,2.9
2011-01-29 06:00:00,4.2
2011-01-29 07:00:00,6.6
2011-01-29 08:00:00,31.5
2011-01-29 09:00:00,58.6
2011-01-29 10:00:00,86.9
2011-01-29 11:00:00,66.2
2011-01-29 12:00:00,70.8
2011-01-29 13:00:00,85.6
2011-01-29 14:00:00,93.5
2011-01-29 15:00:00,146.8
2011-01-29 16:00:00,114.2
2011-01-29 17:00:00,84.5
2011-01-29 18:00:00,110.4
2011-01-29 19:00:00,103.9
2011-01-29 20:00:00,66.5
2011-01-29 21:00:00,49.4
2011-01-29 22:00:00,24.8
2011-01-29 23:00:00,18.8
2011-01-30 00:00:00,36.3
2011-01-30 01:00:00,22.4
2011-01-30 02:00:00,20.1
2011-01-30 03:00:00,26.6
2011-01-30 04:00:00,5.8
2011-01-30 05:00:00,4.1
2011-01-30 07:00:00,9.1
2011-01-30 08:00:00,32.0
2011-01-30 09:00:00,78.4
2011-01-30 10:00:00,88.2
2011-01-30 11:00:00,184.7
2011-01-30 12:00:00,175.0
2011-01-30 13:00:00,140.1
2011-01-30 14:00:00,153.4
2011-01-30 15:00:00,184.3
2011-01-30 16:00:00,190.5
2011-01-30 17:00:00,84.2
2011-01-30 18:00:00,89.4
2011-01-30 19:00:00,84.0
2011-01-30 20:00:00,53.7
2011-01-30 21:00:00,55.7
2011-01-30 22:00:00,45.5
2011-01-30 23:00:00,22.7
2011-01-31 00:00:00,26.6
2011-01-31 01:00:00,21.2
2011-01-31 02:00:00,18.1
2011-01-31 03:00:00,11.2
2011-01-31 04:00:00,1.5
2011-01-31 05:00:00,2.2
2011-01-31 06:00:00,50.1
2011-01-31 07:00:00,168.4
2011-01-31 08:00:00,248.7
2011-01-31 09:00:00,89.4
2011-01-31 10:00:00,49.8
2011-01-31 11:00:00,49.8
2011-01-31 12:00:00,69.2
2011-01-31 13:00:00,67.5
2011-01-31 14:00:00,67.7
2011-01-31 15:00:00,66.7
2011-01-31 16:00:00,92.4
2011-01-31 17:00:00,130.5
2011-01-31 18:00:00,115.6
2011-01-31 19:00:00,148.8
2011-01-31 20:00:00,62.1
2011-01-31 21:00:00,34.3
2011-01-31 22:00:00,33.5
2011-01-31 23:00:00,27.3
2011-02-20 00:00:00,18.5
2011-02-20 01:00:00,11.8
2011-02-20 02:00:00,7.7
2011-02-20 03:00:00,2.7
2011-02-20 04:00:00,2.9
2011-02-20 06:00:00,5.4
2011-02-20 07:00:00,22.7
2011-02-20 08:00:00,57.9
2011-02-20 09:00:00,67.8
2011-02-20 10:00:00,151.3
2011-02-20 11:00:00,134.1
2011-02-20 12:00:00,159.7
2011-02-20 13:00:00,178.1
2011-02-20 14:00:00,199.7
2011-02-20 15:00:00,206.2
2011-02-20 16:00:00,184.8
2011-02-20 17:00:00,258.7
2011-02-20 18:00:00,190.5
2011-02-20 19:00:00,168.9
2011-02-20 20:00:00,135.1
2011-02-20 21:00:00,68.4
2011-02-20 22:00:00,83.5
2011-02-20 23:00:00,41.6
2011-02-21 00:00:00,41.1
2011-02-21 01:00:00,22.7
2011-02-21 02:00:00,7.2
2011-02-21 03:00:00,5.6
2011-02-21 04:00:00,3.9
2011-02-21 05:00:00,12.5
2011-02-21 06:00:00,15.0
2011-02-21 07:00:00,178.1
2011-02-21 08:00:00,192.3
2011-02-21 09:00:00,126.9
2011-02-21 10:00:00,143.1
2011-02-21 11:00:00,167.7
2011-02-21 12:00:00,219.2
2011-02-21 13:00:00,120.2
2011-02-21 14:00:00,132.9
2011-02-21 15:00:00,171.0
2011-02-21 16:00:00,140.3
2011-02-21 17:00:00,166.0
2011-02-21 18:00:00,108.0
2011-02-21 19:00:00,99.6
2011-02-21 20:00:00,52.1
2011-02-21 21:00:00,66.2
2011-02-21 22:00:00,44.4
2011-02-21 23:00:00,14.5
2011-02-22 06:00:00,41.8
2011-02-22 07:00:00,138.7
2011-02-22 08:00:00,313.2
2011-02-22 09:00:00,110.0
2011-02-22 10:00:00,75.2
2011-02-22 11:00:00,81.5
2011-02-22 12:00:00,67.9
2011-02-22 13:00:00,77.7
2011-02-22 14:00:00,80.7
2011-02-22 15:00:00,88.5
2011-02-22 16:00:00,70.0
2011-02-22 17:00:00,165.0
2011-02-22 18:00:00,159.2
2011-02-22 19:00:00,113.5
2011-02-22 20:00:00,76.9
2011-02-22 21:00:00,60.6
2011-02-22 22:00:00,37.2
2011-02-22 23:00:00,35.0
2011-02-23 00:00:00,16.7
2011-02-23 01:00:00,5.7
2011-02-23 02:00:00,2.9
2011-02-23 03:00:00,1.9
2011-02-23 05:00:00,10.0
2011-02-23 06:00:00,56.8
2011-02-23 07:00:00,183.2
2011-02-23 08:00:00,365.6
2011-02-23 09:00:00,217.5
2011-02-23 10:00:00,101.5
2011-02-23 11:00:00,124.3
2011-02-23 12:00:00,153.3
2011-02-23 13:00:00,152.3
2011-02-23 14:00:00,150.7
2011-02-23 15:00:00,176.0
2011-02-23 16:00:00,177.2
2011-02-23 17:00:00,310.7
2011-02-23 18:00:00,290.6
2011-02-23 19:00:00,161.7
2011-02-23 20:00:00,85.4
2011-02-23 21:00:00,91.3
2011-02-23 22:00:00,45.5
2011-02-23 23:00:00,38.1
2011-02-24 00:00:00,21.2
2011-02-24 01:00:00,12.2
2011-02-24 02:00:00,4.0
2011-02-24 03:00:00,6.7
2011-02-24 05:00:00,18.6
2011-02-24 06:00:00,73.5
2011-02-24 07:00:00,276.2
2011-02-24 08:00:00,410.2
2011-02-24 09:00:00,188.6
2011-02-24 10:00:00,86.6
2011-02-24 11:00:00,86.5
2011-02-24 12:00:00,129.7
2011-02-24 13:00:00,132.9
2011-02-24 14:00:00,120.4
2011-02-24 15:00:00,218.9
2011-02-24 16:00:00,157.7
2011-02-24 17:00:00,174.5
2011-02-24 18:00:00,271.0
2011-02-24 19:00:00,179.5
2011-02-24 20:00:00,121.6
2011-02-24 21:00:00,116.5
2011-02-24 22:00:00,62.0
2011-02-24 23:00:00,38.6
2011-02-25 00:00:00,15.0
2011-02-25 01:00:00,14.4
2011-02-25 02:00:00,9.1
2011-02-25 03:00:00,5.5
2011-02-25 05:00:00,24.6
2011-02-25 06:00:00,41.5
2011-02-25 07:00:00,78.8
2011-02-25 08:00:00,137.9
2011-02-25 09:00:00,126.5
2011-02-25 10:00:00,102.1
2011-02-25 11:00:00,146.4
2011-02-25 12:00:00,198.0
2011-02-25 13:00:00,180.1
2011-02-25 14:00:00,179.5
2011-02-25 15:00:00,198.1
2011-02-25 16:00:00,226.6
2011-02-25 17:00:00,428.9
2011-02-25 18:00:00,429.2
2011-02-25 19:00:00,235.5
2011-02-25 20:00:00,131.7
2011-02-25 21:00:00,133.7
2011-02-25 22:00:00,91.8
2011-02-25 23:00:00,63.2
2011-02-26 00:00:00,22.0
2011-02-26 01:00:00,18.5
2011-02-26 02:00:00,9.4
2011-02-26 03:00:00,6.2
2011-02-26 04:00:00,3.9
2011-02-26 05:00:00,10.9
2011-02-26 06:00:00,5.0
2011-02-26 07:00:00,34.1
2011-02-26 08:00:00,77.4
2011-02-26 09:00:00,84.8
2011-02-26 10:00:00,169.6
2011-02-26 11:00:00,149.1
2011-02-26 12:00:00,178.0
2011-02-26 13:00:00,179.5
2011-02-26 14:00:00,136.9
2011-02-26 15:00:00,161.2
2011-02-26 16:00:00,196.5
2011-02-26 17:00:00,256.2
2011-02-26 18:00:00,192.4
2011-02-26 19:00:00,132.1
2011-02-26 20:00:00,127.7
2011-02-26 21:00:00,64.8
2011-02-26 22:00:00,44.8
